Upload Your Image,output,flag,username,timestamp
"{""path"":""flagged\\Upload Your Image\\b26b56c3cf7828271646\\UNADJUSTEDNONRAW_thumb_1b6.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\Hp\\AppData\\Local\\Temp\\gradio\\59ffad1fe23d098cafc0383c4708dcb64ba8b46e\\UNADJUSTEDNONRAW_thumb_1b6.jpg"",""size"":173957,""orig_name"":""UNADJUSTEDNONRAW_thumb_1b6.jpg"",""mime_type"":""""}",,,,2023-11-27 14:47:52.573304
,"Prediction: Bird’s eyespot
Confidence: 917.42%",,,2023-11-27 18:27:00.063046
